epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5672,1.46684,4.52452,0.00329,0.01151,0.23092,0.0112,0.00685,1.14878,3.87658,0.00402,0.0001875,0.0001875,0.0001875
2,45.2263,1.30134,3.69751,0.00293,0.02125,0.59782,0.35155,0.29421,1.08298,3.55677,0.00375,0.000379828,0.000379828,0.000379828
3,51.6932,1.28616,2.71846,0.00292,0.02639,0.70706,0.44655,0.35986,1.0365,2.86647,0.00384,0.000564235,0.000564235,0.000564235
4,59.3416,1.24217,2.30816,0.00273,0.02578,0.67314,0.46193,0.3995,0.96618,2.8518,0.00351,0.000740722,0.000740722,0.000740722
5,66.4751,1.23192,1.98959,0.00272,0.35885,0.65887,0.61345,0.46248,1.00397,2.52842,0.0038,0.00090929,0.00090929,0.00090929
6,73.4167,1.19909,1.89221,0.00264,0.80554,0.44295,0.62256,0.49948,1.06445,1.8058,0.00418,0.00106994,0.00106994,0.00106994
7,81.2084,1.21446,1.70794,0.00266,0.74858,0.56585,0.6893,0.5368,0.99267,1.44253,0.00364,0.0011015,0.0011015,0.0011015
8,89.2462,1.21505,1.60651,0.00271,0.88972,0.61662,0.76605,0.56011,0.96106,1.16231,0.0036,0.00107675,0.00107675,0.00107675
9,96.796,1.11967,1.52794,0.00261,0.67424,0.73422,0.8026,0.61722,0.94681,1.067,0.00357,0.001052,0.001052,0.001052
10,103.268,1.18688,1.43661,0.00276,0.78884,0.80878,0.85747,0.68573,0.93777,0.92731,0.00356,0.00102725,0.00102725,0.00102725
11,110.923,1.14188,1.36524,0.00244,0.81398,0.85593,0.90123,0.73092,0.86499,0.80635,0.00294,0.0010025,0.0010025,0.0010025
12,117.272,1.11109,1.2545,0.0024,0.86431,0.83596,0.91397,0.71701,0.90216,0.73987,0.00332,0.00097775,0.00097775,0.00097775
13,124.766,1.08288,1.22708,0.00245,0.85953,0.85976,0.9239,0.7408,0.84627,0.68026,0.00312,0.000953,0.000953,0.000953
14,132.002,1.04137,1.16782,0.00231,0.87591,0.87953,0.92712,0.75677,0.8541,0.62142,0.00307,0.00092825,0.00092825,0.00092825
15,138.916,1.03864,1.12394,0.00236,0.86221,0.86596,0.92903,0.74979,0.83784,0.6067,0.00314,0.0009035,0.0009035,0.0009035
16,146.517,0.98623,1.08376,0.00232,0.86673,0.86378,0.93118,0.73549,0.83014,0.58597,0.00293,0.00087875,0.00087875,0.00087875
17,153.01,0.98015,1.04563,0.00226,0.86965,0.89592,0.94462,0.7748,0.82098,0.52377,0.00292,0.000854,0.000854,0.000854
18,160.561,1.03385,0.98549,0.00218,0.9091,0.86751,0.94405,0.75061,0.78422,0.56452,0.00288,0.00082925,0.00082925,0.00082925
19,167.069,1.01614,0.96955,0.00209,0.82866,0.88536,0.94392,0.77039,0.77712,0.52003,0.0027,0.0008045,0.0008045,0.0008045
20,174.941,1.0202,0.96339,0.00217,0.86001,0.91651,0.96259,0.78111,0.77207,0.46708,0.0028,0.00077975,0.00077975,0.00077975
21,181.463,0.9916,0.90662,0.00209,0.9044,0.91651,0.96235,0.77863,0.77577,0.5195,0.00281,0.000755,0.000755,0.000755
22,189.049,0.94088,0.85907,0.00212,0.91348,0.91085,0.9642,0.7862,0.8151,0.49513,0.00295,0.00073025,0.00073025,0.00073025
23,195.526,0.94591,0.82549,0.00202,0.90942,0.90789,0.96743,0.80943,0.72821,0.46363,0.00249,0.0007055,0.0007055,0.0007055
24,203.328,0.96542,0.85564,0.00212,0.8957,0.92507,0.9686,0.78844,0.77102,0.45031,0.00271,0.00068075,0.00068075,0.00068075
25,210.71,0.92469,0.82582,0.00204,0.89292,0.93919,0.96963,0.80977,0.76131,0.42672,0.00263,0.000656,0.000656,0.000656
26,217.594,0.96451,0.7699,0.00202,0.91417,0.90974,0.973,0.81265,0.76353,0.42669,0.00277,0.00063125,0.00063125,0.00063125
27,225.295,0.93625,0.76457,0.00202,0.90529,0.93087,0.97462,0.80282,0.76447,0.41727,0.00278,0.0006065,0.0006065,0.0006065
28,231.775,0.93584,0.74234,0.00191,0.91937,0.92464,0.97543,0.80737,0.72643,0.40628,0.00248,0.00058175,0.00058175,0.00058175
29,239.322,0.93071,0.71301,0.00189,0.91022,0.94223,0.97659,0.82138,0.74273,0.40237,0.00252,0.000557,0.000557,0.000557
30,245.785,0.90738,0.69992,0.00196,0.93507,0.93637,0.98056,0.81176,0.76351,0.39086,0.00275,0.00053225,0.00053225,0.00053225
31,253.431,0.90604,0.67933,0.00194,0.93498,0.93318,0.98039,0.83499,0.70448,0.37501,0.00236,0.0005075,0.0005075,0.0005075
32,260.156,0.90377,0.66322,0.00194,0.89595,0.95862,0.97803,0.83039,0.70548,0.38855,0.00242,0.00048275,0.00048275,0.00048275
33,267.759,0.89251,0.64736,0.00184,0.90562,0.94288,0.97882,0.83136,0.71719,0.37633,0.00242,0.000458,0.000458,0.000458
34,274.576,0.92266,0.66158,0.00192,0.93245,0.93103,0.9815,0.84141,0.68585,0.3672,0.00231,0.00043325,0.00043325,0.00043325
35,281.648,0.92533,0.67002,0.0019,0.92191,0.94302,0.98346,0.82046,0.69449,0.36438,0.00246,0.0004085,0.0004085,0.0004085
36,288.909,0.89036,0.63723,0.00181,0.93149,0.9469,0.98502,0.84302,0.67761,0.36122,0.0023,0.00038375,0.00038375,0.00038375
37,295.643,0.89215,0.64475,0.00187,0.9579,0.93506,0.98478,0.84411,0.68277,0.35338,0.00237,0.000359,0.000359,0.000359
38,303.38,0.85623,0.61665,0.00184,0.94565,0.95733,0.98651,0.85587,0.67516,0.35138,0.0023,0.00033425,0.00033425,0.00033425
39,310.045,0.87734,0.60294,0.00171,0.94796,0.96676,0.98739,0.85531,0.66275,0.34466,0.00225,0.0003095,0.0003095,0.0003095
40,317.838,0.87608,0.5961,0.00181,0.94424,0.97941,0.98698,0.85746,0.65767,0.3445,0.00221,0.00028475,0.00028475,0.00028475
41,326.681,0.84711,0.77736,0.00205,0.95615,0.95716,0.98628,0.85068,0.68626,0.35045,0.00236,0.00026,0.00026,0.00026
42,333.911,0.84273,0.68809,0.00199,0.94854,0.95327,0.98587,0.84432,0.67987,0.372,0.00231,0.00023525,0.00023525,0.00023525
43,340.69,0.8568,0.68212,0.00205,0.94221,0.95918,0.98404,0.84133,0.68556,0.34877,0.00232,0.0002105,0.0002105,0.0002105
44,347.842,0.83492,0.65191,0.00194,0.9331,0.9559,0.98286,0.83737,0.69811,0.37622,0.00238,0.00018575,0.00018575,0.00018575
45,355.226,0.85936,0.67771,0.00206,0.94668,0.94526,0.98308,0.83492,0.68333,0.38015,0.0023,0.000161,0.000161,0.000161
46,361.614,0.81479,0.63516,0.00189,0.94755,0.94974,0.98452,0.84342,0.68085,0.35018,0.00231,0.00013625,0.00013625,0.00013625
47,368.987,0.80245,0.61709,0.00189,0.95125,0.9495,0.98529,0.85143,0.66834,0.3366,0.00222,0.0001115,0.0001115,0.0001115
48,375.315,0.7905,0.60656,0.00183,0.94762,0.95452,0.98542,0.85265,0.66008,0.33243,0.00216,8.675e-05,8.675e-05,8.675e-05
49,382.644,0.79565,0.62283,0.00183,0.94492,0.9553,0.98535,0.84844,0.67205,0.33402,0.00222,6.2e-05,6.2e-05,6.2e-05
50,389.15,0.78655,0.59735,0.00191,0.9504,0.94682,0.985,0.84753,0.66815,0.33471,0.0022,3.725e-05,3.725e-05,3.725e-05
